Name,UniqueName,WAR,wRC+,ROI_Contact,ROI_Power,ROI_Speed,ROI_Defense,ROI_Discipline,Best_Tool,Best_ROI,Contact,Power,Speed,Defense,Discipline
Addison Barger,Addison Barger (2025),2.192148390341301,106.7825389781929,10.141827186152794,12.432553584274414,-2.894595878072826,-2.1528002474987997,-2.490304200042949,Power,12.432553584274414,50.40625862632209,63.23076843346219,48.54764020770405,52.56924733506536,45.168507995274005
Jakob Marsee,Jakob Marsee (2025),2.148949409145185,133.1285647262201,10.293999453573592,9.873367335991823,-2.3293679357986523,-1.5650558894555535,-2.0926333870729055,Contact,10.293999453573592,61.7661602486138,51.60485435126814,58.11590746710658,53.62322698199312,58.17653153843463
Jose Altuve,Jose Altuve (2025),2.1328489507842043,113.3783243381754,9.757830622897183,12.591340393015265,-0.7683991388743853,-0.6042964362717582,-0.6296063482092755,Power,12.591340393015265,58.92282548844475,46.856178681251336,42.872362996102666,38.856127414637314,46.481290995314666
Marcus Semien,Marcus Semien (2025),2.12828188931764,89.02824894465994,10.81268572582838,10.438341408401522,-2.3146195662896254,-1.7115489915889162,-2.334157802509169,Contact,10.81268572582838,53.13475059433559,44.81195943662351,57.92030569332345,60.0428993129916,54.780303458582736
Jeff McNeil,Jeff McNeil (2025),2.11142587133073,110.64836906214204,11.208679359248038,9.923639826481807,-4.805435194529782,-4.509872751577718,-5.258504603548049,Contact,11.208679359248038,62.718762522828655,43.67488412703624,50.10885241225889,49.97077888680026,56.62703927728767
José Caballero,José Caballero (2025),2.1067029065881657,97.03140276750112,11.23330228668953,10.250123338537131,-6.600213798678828,-6.328858121798271,-7.086781637052921,Contact,11.23330228668953,46.08695178669434,42.63424831162757,75.86840328712951,56.15530279942994,58.45322786622423
Alec Burleson,Alec Burleson (2025),2.0986745219023017,124.47509791187048,9.088006298059982,10.62260915773515,-0.8708413384267814,-0.5578411923180703,-0.554922993590392,Power,10.62260915773515,66.31152448889395,54.49902449534058,46.63922142663166,37.63851958855906,49.009476615079095
J.T. Realmuto,J.T. Realmuto (2025),2.0890892380122925,93.99800739965843,10.79897209736534,11.706476435702514,-2.2120268998557657,-1.5871515078303637,-2.1320974497178717,Power,11.706476435702514,53.721543855558814,49.96073411198074,50.699279800499305,49.88291028055463,43.84818117470122
Ryan Jeffers,Ryan Jeffers (2025),2.0757142924315564,113.2695360739141,9.531251978303665,10.658280628421899,1.1163003162618799,1.1066746006293042,1.220912741667011,Power,10.658280628421899,58.14161118258038,47.87012705610535,39.87925600217656,46.54436290486485,63.33958637958294
Lawrence Butler,Lawrence Butler (2025),2.034410742823372,95.51550579704784,11.245900308242561,9.523208933707615,-3.331378385843956,-2.6169287733482736,-3.0758605095474403,Contact,11.245900308242561,40.62075523337188,56.05065830102809,58.79693930493377,51.11520068671069,52.00943526523119
Sean Murphy,Sean Murphy (2025),2.022085185644264,96.64253213367084,9.750062235448713,11.037486024071258,-1.8474015587061543,-1.496695351195306,-1.6151470259166387,Power,11.037486024071258,35.58575563453178,59.583147727433605,42.2403178563491,64.72846879064699,52.270657886318695
Ryan McMahon,Ryan McMahon (2025),1.9390159623370065,86.33602902288065,9.364970851110376,10.419944330635309,-2.676105870914505,-1.9551737940468925,-2.363518416024915,Power,10.419944330635309,34.90414452585941,59.80585977002121,46.880207431364525,62.88134379811851,57.5996941449951
Giancarlo Stanton,Giancarlo Stanton (2025),1.9277738790477952,157.68708286023326,10.048963316760885,10.948985075418092,0.0826947895448097,0.11147525864479746,0.4103331323540076,Power,10.948985075418092,40.38992042344141,80.0,41.19104066493997,41.36414100089088,55.98400913936087
Kyle Teel,Kyle Teel (2025),1.8885521690571507,124.89339324704478,9.866597081228184,9.511480183761417,-1.8205226722977754,-1.3911822564074228,-1.6723108113747263,Contact,9.866597081228184,48.47826232093888,50.9742722091739,45.37643115647773,49.31878503806542,59.93128599452879
Jordan Westburg,Jordan Westburg (2025),1.8827169434687487,114.74215389000976,9.26973476579745,12.384627165096846,-2.3115016158112884,-1.8586575842438076,-1.9686527826077693,Power,12.384627165096846,49.84366291823564,56.95052576277713,44.79078778742368,54.10790813526998,42.9336380167363
Jake Mangum,Jake Mangum (2025),1.827597711992082,95.46626208833396,11.068558864866537,12.730334590360641,-6.813885279900575,-6.75205616328534,-7.315723110455397,Power,12.730334590360641,62.00965404387958,38.10386002196649,63.06704534131119,56.907743574072015,28.1032931282386
Francisco Alvarez,Francisco Alvarez (2025),1.8269705910681493,123.80544826258108,10.385873934380745,10.330217747433233,-2.0119733193240332,-1.6495841802093536,-1.7927436640866206,Contact,10.385873934380745,43.26704711781316,63.29622047223809,44.16464852377618,48.68296971473919,52.63802582874847
Nathan Lukes,Nathan Lukes (2025),1.8224679112290407,103.49786298601786,10.044165316636317,11.927887471557819,0.2556643893871319,0.3277032048645901,0.3236004289089563,Power,11.927887471557819,64.8020631304744,45.12017893100508,41.851504052405865,58.21712105473998,51.93292216168842
Mike Trout,Mike Trout (2025),1.7932103882611072,119.75142681338023,8.663851732950626,9.012693302657242,-1.1770711090912513,-0.6984978985832875,-0.8854474280746228,Power,9.012693302657242,43.542337122322856,64.55205491819942,46.12907221676608,39.15221732927858,70.13360524523668
Myles Straw,Myles Straw (2025),1.7903991558160288,91.14647574319402,11.072042680746225,10.939043246981958,-6.67494702589084,-6.618531297767947,-7.14182843490989,Contact,11.072042680746225,61.81808587981912,37.90274141349137,64.2379503595541,62.46356534241584,49.95715785015974
Josh Smith,Josh Smith (2025),1.762347613801165,100.27388372736355,11.90537294867962,10.200369280922418,-6.065691182113263,-6.166033516430074,-6.538921617064866,Contact,11.90537294867962,58.10925040809428,40.40675020750915,54.736324010095615,44.35777608685062,56.852674898102286
Victor Scott II,Victor Scott II (2025),1.7396654031982317,75.5078097293788,9.1175056222749,10.569323582758745,-8.102348926608002,-8.190304333940547,-8.739359744420858,Power,10.569323582758745,45.08795383441074,33.79009971271808,74.78273920936178,65.07893734658582,53.598820011174
Alec Bohm,Alec Bohm (2025),1.734872532941508,104.82533217200428,10.101384577128162,10.904006459936232,-0.9696453537478464,-0.7087501989405802,-0.8259346121762845,Power,10.904006459936232,67.92103142221268,50.00147182056254,44.21445459222012,50.29793033140914,47.999211913498776
Miguel Rojas,Miguel Rojas (2025),1.721501538679048,99.92768179775628,10.657921489949185,10.984116940006722,-5.136253295691726,-4.8046848151466595,-5.54082360832422,Power,10.984116940006722,60.83225560515159,42.928383109909646,52.542611969490174,58.57753885118644,54.79513483434235
Spencer Horwitz,Spencer Horwitz (2025),1.7212282352319377,119.03362238535505,10.235589722464729,11.025914150128063,-0.16941859933509937,-0.012545800879408056,-0.16956787201821774,Power,11.025914150128063,60.911565575106906,46.39650191191775,42.60203253474536,48.19862297033374,58.76245443779916
Wenceel Pérez,Wenceel Pérez (2025),1.7034371593830289,103.41598693082712,10.758073938704522,10.614741538582292,-2.824329535991773,-2.113943863601471,-2.494158565613914,Contact,10.758073938704522,50.16976133495776,52.10651865796834,55.26486809572396,54.46052212922729,46.80507018115155
Brandon Lowe,Brandon Lowe (2025),1.6801465739883783,113.99114429708716,8.95409991426572,12.279602040950476,-1.354627892799078,-1.138319194875778,-1.1188875278437842,Power,12.279602040950476,43.20256500959585,63.20630579959565,42.79280242553954,32.52486658702582,39.18039630360354
Austin Riley,Austin Riley (2025),1.6665352305783354,103.24553709201687,10.294029235024508,12.420861462665332,-2.4273221587446776,-1.9870613503543961,-2.1054213517926605,Power,12.420861462665332,45.805915778686426,60.44045743663237,44.47067564926516,51.2664722689577,43.15665164750985
Josh Jung,Josh Jung (2025),1.663568021057566,91.20131118833264,8.876308136278467,12.59620771533919,-1.6043362313444014,-1.1210765369798772,-1.4495953452838188,Power,12.59620771533919,50.275652737368006,50.89948515061751,45.91311804576128,59.116078905198265,39.71049526496196
