target,window,outer_fold,model,alpha,inner_fold,mae,selected
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,3.727593720314938,mean,25.332983170778522,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,5.179474679231207,0,26.477312752630716,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,5.179474679231207,1,22.034504367962885,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,5.179474679231207,2,25.823525338005158,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,5.179474679231207,3,24.097852786313783,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,5.179474679231207,4,28.223995072199344,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,5.179474679231207,mean,25.331438063422375,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,7.196856730011514,0,26.493127815172777,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,7.196856730011514,1,22.016819020725325,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,7.196856730011514,2,25.82480652262143,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,7.196856730011514,3,24.09805881818261,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,7.196856730011514,4,28.213807457622387,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,7.196856730011514,mean,25.32932392686491,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,10.0,0,26.514642204439227,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,10.0,1,21.9927603460429,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,10.0,2,25.826549412001942,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,10.0,3,24.098339098441723,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,10.0,4,28.19994849847363,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,10.0,mean,25.326447911879885,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,13.89495494373136,0,26.543680266518344,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,13.89495494373136,1,21.960288251189677,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,13.89495494373136,2,25.828901797161535,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,13.89495494373136,3,24.10390981906559,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,13.89495494373136,4,28.181243002764276,False
