target,window,touches_2020,fold,candidate,baseline,n_test,sign,improvement_mae,ci_low,ci_high,excludes_zero,bootstrap_unit,n_boot,direction,positive_means_candidate_better
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M7 Marcel + B2V,M6c Marcel calibrated,353,candidate better,0.2032548292597589,-0.1299543638238286,0.5099995572304368,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M6c Marcel calibrated,M1 B2V 5 tools,353,baseline better,-0.297537171300462,-1.13087741755002,0.599765962138458,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M1 B2V 5 tools,M0 scalar baseline,358,candidate better,1.5646350204736699,0.7712470676198072,2.403386501461103,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M1 B2V 5 tools,M2 constituent stats,358,baseline better,-0.38027824241571295,-0.6974794294483864,-0.04599259423037091,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M2 constituent stats,M0 scalar baseline,358,candidate better,1.9449132628893828,1.1097158737045372,2.8407195523539133,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M4 B2V + age + PA,M3 scalar + age + PA,358,candidate better,1.5098434268008454,0.8624697855382664,2.219171604013551,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M7 Marcel + B2V,M6c Marcel calibrated,358,candidate better,0.568684369836749,0.05907985561968872,1.0735734862645134,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2023->24,M6c Marcel calibrated,M1 B2V 5 tools,358,baseline better,-0.3313919002473469,-1.2463184504113531,0.5646780918599958,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M1 B2V 5 tools,M0 scalar baseline,362,candidate better,1.1782665555684666,0.41035815023946187,1.9917629855698427,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M1 B2V 5 tools,M2 constituent stats,362,baseline better,-0.33544467145451407,-0.7088445293663715,0.017749561952600242,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M2 constituent stats,M0 scalar baseline,362,candidate better,1.5137112270229807,0.7044498509167703,2.3999934124703817,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2024->25,M4 B2V + age + PA,M3 scalar + age + PA,362,candidate better,1.1170825375299067,0.4117021046696066,1.8264610300068085,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
