target,alpha_grid,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,mae_pct_of_scalar_baseline
war,wide_logspace_-3_4_50,B,M2 constituent stats,22,0.001,701,False,2021->2022; 2022->2023,2023->2024,355,1.174905611969992,1.067527797082077,1.2909645720175307,1.586161041837248,1.4239721146312094,1.7724261263195795,96.91037199346741
war,wide_logspace_-3_4_50,B,M3 scalar + age + PA,3,26.82695795279722,701,False,2021->2022; 2022->2023,2023->2024,355,1.230126473560627,1.120557473551026,1.3501236147210733,1.6346499602056341,1.4609165636196992,1.8263482935720268,101.46518404307135
war,wide_logspace_-3_4_50,B,M4 B2V + age + PA,7,51.794746792312125,701,False,2021->2022; 2022->2023,2023->2024,355,1.2397501638063637,1.1338306851703615,1.3527742124875606,1.6221239015213211,1.464051096529741,1.8012614650776844,102.25898006563054
war,wide_logspace_-3_4_50,B,M5 constituents + age + PA,24,37.27593720314938,701,False,2021->2022; 2022->2023,2023->2024,355,1.1969485070781114,1.0920805598209773,1.3105886314046973,1.586412747221662,1.4333467798284496,1.7598459958624053,98.72854797541632
war,wide_logspace_-3_4_50,C,M0 scalar baseline,1,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1334134441918637,1.0384086495779592,1.233217431993349,1.4838927333556877,1.3565160900667095,1.617597813041127,100.0
war,wide_logspace_-3_4_50,C,M1 B2V 5 tools,5,51.794746792312125,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1799318180605904,1.0820852593634536,1.28496372746248,1.5216639985476859,1.3805070322197674,1.6680179406230995,104.10427228537904
war,wide_logspace_-3_4_50,C,M2 constituent stats,22,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1336730927241916,1.0408087495184664,1.2350876975822342,1.4563359476465578,1.335649090788652,1.5804787571467371,100.02290854530256
war,wide_logspace_-3_4_50,C,M3 scalar + age + PA,3,13.89495494373136,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1460857452336857,1.0520297944779242,1.2409925660231067,1.47574157323545,1.3506489311647836,1.5982654234806175,101.11806517795961
war,wide_logspace_-3_4_50,C,M4 B2V + age + PA,7,71.96856730011514,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1621406095348983,1.0632104433626144,1.2611244387278318,1.498719045745164,1.35579981546324,1.6373910713928785,102.53457072441181
war,wide_logspace_-3_4_50,C,M5 constituents + age + PA,24,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.118288437178175,1.026698571613589,1.214112218344039,1.4398460156667807,1.3163974195691401,1.5602195195578477,98.66553488568567
war,wide_logspace_-3_4_50,pooled,M0 scalar baseline,1,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1759478006565973,1.1117652921787076,1.244493378070715,1.5437878883729195,1.4409363309452075,1.6470345573562781,100.0
war,wide_logspace_-3_4_50,pooled,M1 B2V 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.2234376765972077,1.157540348591027,1.2888829840614369,1.5803047627112512,1.481715481586281,1.6751797138159843,104.03843401161974
war,wide_logspace_-3_4_50,pooled,M2 constituent stats,22,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.178535552003498,1.1171071532495798,1.2440362483168852,1.5300803243148955,1.4378593744848773,1.6228245419563974,100.2200566509377
war,wide_logspace_-3_4_50,pooled,M3 scalar + age + PA,3,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1646685186462267,1.0997866341000098,1.230224329560214,1.5168659027816738,1.4193176455157595,1.6179682428260578,99.0408348054163
war,wide_logspace_-3_4_50,pooled,M4 B2V + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1842492393148236,1.1206772140289218,1.2498880312463654,1.5306668470680254,1.4351093480328745,1.6257976727292283,100.70593598232772
war,wide_logspace_-3_4_50,pooled,M5 constituents + age + PA,24,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1584146211540036,1.0993314166160113,1.2206358923963518,1.498763397627665,1.4103668499393807,1.589666583146644,98.50901719508265
war,archived_6_value,A,M0 scalar baseline,1,10.0,351,False,2021->2022,2022->2023,350,1.1825188302108434,1.0850091470459577,1.284433612020509,1.5087850495147257,1.3732148810808225,1.6573867330583334,100.0
