target,pool,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
wrc_plus,past_seasons,B,B B2V (5 tools) k=10,,,,,,,355,19.93887323943662,18.25685915492958,21.724619718309857,26.03506790011081,23.968557319098547,28.205609770584687
wrc_plus,past_seasons,B,B B2V (5 tools) k=3,,,,,,,355,22.31079812206573,20.45784037558685,24.24711267605634,28.74288916621437,26.285986639984248,31.4607592623676
wrc_plus,past_seasons,B,B B2V (5 tools) k=5,,,,,,,355,21.061971830985915,19.367704225352114,22.93021126760563,27.10846861079643,24.854552232740417,29.438539389541994
wrc_plus,past_seasons,C,"A scalar (WAR, wRC+) k=10",,,,,,,358,19.587150837988826,17.971403631284918,21.278016759776534,25.373428894312816,23.313536653776456,27.447216619460086
wrc_plus,past_seasons,C,"A scalar (WAR, wRC+) k=3",,,,,,,358,21.07728119180633,19.33328677839851,22.876606145251397,27.117413738608768,25.07942395958722,29.235319038795055
wrc_plus,past_seasons,C,"A scalar (WAR, wRC+) k=5",,,,,,,358,20.984357541899442,19.345726256983237,22.672094972067036,26.3147514761473,24.35529244885751,28.340349500076655
wrc_plus,past_seasons,C,B B2V (5 tools) k=10,,,,,,,358,19.31145251396648,17.68463687150838,20.93668296089385,24.772254821443838,22.75188552894114,26.843370484555678
wrc_plus,past_seasons,C,B B2V (5 tools) k=3,,,,,,,358,20.748603351955307,18.976280260707636,22.62199720670391,27.080850050886227,24.604661366073373,29.550040384120553
wrc_plus,past_seasons,C,B B2V (5 tools) k=5,,,,,,,358,19.963128491620115,18.34740223463687,21.67231843575419,25.543373125226143,23.41972024632594,27.763967678337103
wrc_plus,past_seasons,pooled,"A scalar (WAR, wRC+) k=10",,,,,re-fitted per fold,all rolling-origin test seasons,1063,20.192662276575728,19.127964931264497,21.231509883732265,25.874121069324573,24.568360954393093,27.079555626455566
wrc_plus,past_seasons,pooled,"A scalar (WAR, wRC+) k=3",,,,,re-fitted per fold,all rolling-origin test seasons,1063,22.2195045468799,21.149038965931847,23.352215381917038,28.220980640322423,26.925301219498515,29.53357291278544
wrc_plus,past_seasons,pooled,"A scalar (WAR, wRC+) k=5",,,,,re-fitted per fold,all rolling-origin test seasons,1063,21.23857008466604,20.21896156605231,22.294050635547045,26.716586467476148,25.459564357862018,27.984068507076515
wrc_plus,past_seasons,pooled,B B2V (5 tools) k=10,,,,,re-fitted per fold,all rolling-origin test seasons,1063,19.408372530573846,18.43855060999706,20.392325699564925,24.987735279397107,23.74263958308696,26.22610798338091
wrc_plus,past_seasons,pooled,B B2V (5 tools) k=3,,,,,re-fitted per fold,all rolling-origin test seasons,1063,21.5233615553465,20.479870360627288,22.633900556442715,27.74876461202313,26.33183368849364,29.18210738493054
wrc_plus,past_seasons,pooled,B B2V (5 tools) k=5,,,,,re-fitted per fold,all rolling-origin test seasons,1063,20.385324553151456,19.39009970746609,21.42669249927252,26.114570638318114,24.84894301785393,27.44087445448462
war,same_season,A,"A scalar (WAR, wRC+) k=10",,,,,,,350,1.2077142857142857,1.1040271428571429,1.3141335714285713,1.5745667884940833,1.4179203859017246,1.7300848789997005
war,same_season,A,"A scalar (WAR, wRC+) k=3",,,,,,,350,1.3474285714285714,1.2299952380952381,1.464290476190476,1.742825656754361,1.5917162540263894,1.8885958081894567
war,same_season,A,"A scalar (WAR, wRC+) k=5",,,,,,,350,1.2638285714285713,1.1549657142857142,1.3778857142857142,1.665216245073637,1.5136651979122555,1.8203693887102974
war,same_season,A,B B2V (5 tools) k=10,,,,,,,350,1.2958571428571428,1.1980042857142859,1.4008928571428574,1.6331775338715804,1.490935895151546,1.7848674294739082
war,same_season,A,B B2V (5 tools) k=3,,,,,,,350,1.3894285714285712,1.2744738095238095,1.5099071428571431,1.7848133600348048,1.632654663420748,1.936865674489272
war,same_season,A,B B2V (5 tools) k=5,,,,,,,350,1.3326285714285715,1.22954,1.442,1.6771353127111888,1.5277825198141946,1.8366665285596542
war,same_season,B,"A scalar (WAR, wRC+) k=10",,,,,,,355,1.2527605633802816,1.1403845070422536,1.3774528169014084,1.66967492830107,1.511016682650676,1.8393449700606135
war,same_season,B,"A scalar (WAR, wRC+) k=3",,,,,,,355,1.2962441314553992,1.1741690140845067,1.4332535211267603,1.7626191565621347,1.5939251606771845,1.9463152853768972
war,same_season,B,"A scalar (WAR, wRC+) k=5",,,,,,,355,1.287943661971831,1.1726760563380283,1.41753661971831,1.7275872616105021,1.5635408262927029,1.9068680153254416
war,same_season,B,B B2V (5 tools) k=10,,,,,,,355,1.2986760563380282,1.1819577464788733,1.4218894366197181,1.721162316084645,1.5417607492603635,1.9125357751521403
war,same_season,B,B B2V (5 tools) k=3,,,,,,,355,1.433239436619718,1.3182159624413146,1.5554366197183096,1.823980410624291,1.6728576791034981,1.9786133918453204
war,same_season,B,B B2V (5 tools) k=5,,,,,,,355,1.360450704225352,1.243761971830986,1.4787098591549295,1.7503577099199057,1.5906255388964166,1.9106372500915814
war,same_season,C,"A scalar (WAR, wRC+) k=10",,,,,,,358,1.1889385474860334,1.0924106145251398,1.2866606145251396,1.526560379473662,1.390021228372391,1.6632545626597897
war,same_season,C,"A scalar (WAR, wRC+) k=3",,,,,,,358,1.3491620111731844,1.2464618249534452,1.4576769087523271,1.7000346876367607,1.5755097556242303,1.8357681900471143
war,same_season,C,"A scalar (WAR, wRC+) k=5",,,,,,,358,1.270782122905028,1.1693142458100558,1.378659217877095,1.6252432563952084,1.492894719023259,1.7666238354970574
war,same_season,C,B B2V (5 tools) k=10,,,,,,,358,1.2697206703910615,1.156421089385475,1.3904546089385477,1.6647807579579477,1.4989777984126111,1.83671106799376
war,same_season,C,B B2V (5 tools) k=3,,,,,,,358,1.362290502793296,1.2538012104283054,1.476373370577281,1.7185924184293393,1.5723178993588842,1.8701618493694476
war,same_season,C,B B2V (5 tools) k=5,,,,,,,358,1.31536312849162,1.2040935754189943,1.4334078212290502,1.7051361779854592,1.5455291072654065,1.8657871815844673
war,same_season,pooled,"A scalar (WAR, wRC+) k=10",,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.2164346190028221,1.1467530156914025,1.286894917724782,1.591278469781875,1.4944933689325197,1.692055113971936
war,same_season,pooled,"A scalar (WAR, wRC+) k=3",,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.3309187833176543,1.2591954376736985,1.4020428556496287,1.7352225153560805,1.6405596723195803,1.829000982325795
war,same_season,pooled,"A scalar (WAR, wRC+) k=5",,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.2742238946378175,1.203379512008758,1.344067442758344,1.673116413300436,1.5751771639074257,1.7733942103547673
war,same_season,pooled,B B2V (5 tools) k=10,,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.2879962370649107,1.2133477903007712,1.3611107198118904,1.6735986541925594,1.559507841829063,1.7847530749368512
war,same_season,pooled,B B2V (5 tools) k=3,,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.3949200376293511,1.3245236260142614,1.4710407085160186,1.776127657410827,1.6818849942779537,1.8704973322678708
war,same_season,pooled,B B2V (5 tools) k=5,,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.3361053621825023,1.2665736463983943,1.4085550951789776,1.7112837847387234,1.6099900228097166,1.8077279073614272
war,past_seasons,A,"A scalar (WAR, wRC+) k=10",,,,,,,350,1.1943142857142857,1.0901349999999999,1.298425714285714,1.5522673738760342,1.3977231689621572,1.697167723873085
war,past_seasons,A,"A scalar (WAR, wRC+) k=3",,,,,,,350,1.2963809523809524,1.1827309523809524,1.4115428571428572,1.7156867290915767,1.544982558772337,1.8840662909613564
war,past_seasons,A,"A scalar (WAR, wRC+) k=5",,,,,,,350,1.2077714285714287,1.1060914285714285,1.3082557142857143,1.5565896789364333,1.4064110148993023,1.7082030908134855
war,past_seasons,A,B B2V (5 tools) k=10,,,,,,,350,1.2508857142857142,1.1496142857142857,1.3528942857142854,1.5694990101485067,1.4410805341451236,1.6921061621854665
war,past_seasons,A,B B2V (5 tools) k=3,,,,,,,350,1.4056190476190478,1.2934285714285714,1.5161023809523813,1.7662793825278202,1.633476099743923,1.8935946331106617
war,past_seasons,A,B B2V (5 tools) k=5,,,,,,,350,1.3140571428571428,1.2053142857142858,1.4241385714285715,1.669468349933167,1.5368577958669185,1.7994047400858835
war,past_seasons,B,"A scalar (WAR, wRC+) k=10",,,,,,,355,1.2215492957746479,1.1092838028169014,1.3438718309859154,1.653154815820473,1.4814910314579184,1.8370267360452208
war,past_seasons,B,"A scalar (WAR, wRC+) k=3",,,,,,,355,1.3518309859154927,1.238955399061033,1.472213615023474,1.7760879096798103,1.6103088178519045,1.9505960884560072
war,past_seasons,B,"A scalar (WAR, wRC+) k=5",,,,,,,355,1.2627605633802816,1.1468704225352115,1.38532676056338,1.7089227312574582,1.528400544344252,1.9026410085560372
war,past_seasons,B,B B2V (5 tools) k=10,,,,,,,355,1.2665915492957747,1.154974647887324,1.3900584507042255,1.6786110958967255,1.50768923083675,1.8690969943659752
war,past_seasons,B,B B2V (5 tools) k=3,,,,,,,355,1.387981220657277,1.2627206572769953,1.5286525821596242,1.8428629832304073,1.638412505884434,2.070572815943609
war,past_seasons,B,B B2V (5 tools) k=5,,,,,,,355,1.3233239436619717,1.2073647887323944,1.4494760563380278,1.7375634551185117,1.569392699847705,1.9184189128423748
war,past_seasons,C,"A scalar (WAR, wRC+) k=10",,,,,,,358,1.2347206703910616,1.1282849162011173,1.3451983240223462,1.6114171042281022,1.4636018359845986,1.7600174520524856
war,past_seasons,C,"A scalar (WAR, wRC+) k=3",,,,,,,358,1.3364990689013037,1.2129376163873369,1.4616387337057728,1.7646153017733464,1.6015969551402984,1.9242029682140154
war,past_seasons,C,"A scalar (WAR, wRC+) k=5",,,,,,,358,1.2945810055865923,1.1864175977653633,1.4119567039106147,1.6856618480353014,1.5397557576303853,1.8300635077753389
war,past_seasons,C,B B2V (5 tools) k=10,,,,,,,358,1.2246089385474859,1.1235439944134078,1.3291983240223464,1.575297701757357,1.4292157203828835,1.7238464181148216
war,past_seasons,C,B B2V (5 tools) k=3,,,,,,,358,1.3590316573556798,1.242800279329609,1.4781238361266293,1.7677941660532677,1.6114948858016187,1.9266737793623443
