target,window,touches_2020,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
wrc_plus,2019-2025 (all),True,2021->22,M2 constituent stats,22,26.82695795279722,554.0,False,2019->2020; 2020->2021,2021->2022,354,19.269094944778505,17.640810045632712,21.05531700650563,24.94549224155386,22.797029194430042,27.396067547413825
wrc_plus,2019-2025 (all),True,2021->22,M3 scalar + age + PA,3,0.001,554.0,False,2019->2020; 2020->2021,2021->2022,354,19.79572967722587,18.142634924675384,21.626453879895337,25.797064321949737,23.362209635362973,28.593037224249123
wrc_plus,2019-2025 (all),True,2021->22,M4 B2V + age + PA,7,0.001,554.0,False,2019->2020; 2020->2021,2021->2022,354,19.08543493288479,17.446810035433884,20.855701717887687,24.9107340474787,22.58384556816888,27.66885939161262
wrc_plus,2019-2025 (all),True,2021->22,M5 constituents + age + PA,24,37.27593720314938,554.0,False,2019->2020; 2020->2021,2021->2022,354,19.03317790613931,17.434357065821253,20.76867432222408,24.74372827319545,22.562464266403623,27.27783246422692
wrc_plus,2019-2025 (all),True,2021->22,M6 Marcel (no fit),1,,,,,,354,19.297329696804283,17.76323094599676,21.02219566529054,24.73495361206737,22.40880381963605,27.475832742488105
wrc_plus,2019-2025 (all),True,2021->22,M6c Marcel calibrated,1,0.001,554.0,False,2019->2020; 2020->2021,2021->2022,354,18.98728034402314,17.42804703436781,20.745952826526562,24.382554304866424,21.97643999533398,27.187461511883136
wrc_plus,2019-2025 (all),True,2021->22,M7 Marcel + B2V,6,13.89495494373136,554.0,False,2019->2020; 2020->2021,2021->2022,354,18.854326300327077,17.23926590868452,20.574233513370814,24.37540430171762,22.00612481167883,27.109729108614893
wrc_plus,2019-2025 (all),True,2022->23,M0 scalar baseline,1,0.001,908.0,False,2019->2020; 2020->2021; 2021->2022,2022->2023,353,19.37012872027787,17.85082644593438,21.02328742630144,24.91204313997381,23.036945060009476,26.8693850322026
wrc_plus,2019-2025 (all),True,2022->23,M1 B2V 5 tools,5,0.001,908.0,False,2019->2020; 2020->2021; 2021->2022,2022->2023,353,18.68758721861492,17.245812618664957,20.248329017147032,23.658859932037597,21.905854974731206,25.553062312427617
wrc_plus,2019-2025 (all),True,2022->23,M2 constituent stats,22,26.82695795279722,908.0,False,2019->2020; 2020->2021; 2021->2022,2022->2023,353,18.34369619290583,16.91202021269252,19.897967272763932,23.396663986773255,21.62907459256653,25.28729264935954
wrc_plus,2019-2025 (all),True,2022->23,M3 scalar + age + PA,3,0.001,908.0,False,2019->2020; 2020->2021; 2021->2022,2022->2023,353,18.856832045564147,17.326789095859798,20.41933977289559,24.28712023498305,22.466187643401206,26.161794905507247
wrc_plus,2019-2025 (all),True,2022->23,M4 B2V + age + PA,7,0.001,908.0,False,2019->2020; 2020->2021; 2021->2022,2022->2023,353,18.351338942052323,16.92545818237907,19.881773720294778,23.256699034347296,21.49507711658374,25.16004143894191
