target,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
war,A,M1 JointVAE 5 tools + age + PA,7,26.82695795279722,351,False,2021->2022,2022->2023,350,1.1261640151778476,1.0333590439221816,1.2276253480998034,1.4444042722152979,1.3155923185384557,1.5815806061005175
war,A,M1 PCA 5 tools,5,51.794746792312125,351,False,2021->2022,2022->2023,350,1.2498553675117285,1.1507416781570545,1.353987094187044,1.5713456534447114,1.4430718620899814,1.7049123869318812
war,A,M1 PCA 5 tools + age + PA,7,37.27593720314938,351,False,2021->2022,2022->2023,350,1.151016975995088,1.0589360454326067,1.251733493363235,1.4666242347368736,1.3432383675742665,1.5981185571097343
war,A,M1 ZScore 5 tools,5,51.794746792312125,351,False,2021->2022,2022->2023,350,1.2478387663239603,1.1480938239927068,1.3521513022499303,1.5689403771817036,1.4425392164569262,1.701685397791073
war,A,M1 ZScore 5 tools + age + PA,7,37.27593720314938,351,False,2021->2022,2022->2023,350,1.150569414362585,1.057959156651871,1.2515023423079186,1.4661075033998934,1.3426272236087513,1.5969837510718654
war,B,M0 scalar baseline,1,3.727593720314938,701,False,2021->2022; 2022->2023,2023->2024,355,1.212363122545016,1.1021934896906105,1.3342320497432847,1.6344726155624891,1.460936190914829,1.8288509351867952
war,B,M1 JointVAE 5 tools,5,26.82695795279722,701,False,2021->2022; 2022->2023,2023->2024,355,1.2395302847774383,1.1268742015931876,1.3607538306416105,1.670080142165931,1.4956085255850167,1.8597316624443034
war,B,M1 JointVAE 5 tools + age + PA,7,26.82695795279722,701,False,2021->2022; 2022->2023,2023->2024,355,1.233336372062468,1.1243556618781376,1.3539781127318526,1.6260102015381466,1.4568853257721477,1.8079889953542014
war,B,M1 PCA 5 tools,5,26.82695795279722,701,False,2021->2022; 2022->2023,2023->2024,355,1.2421191084533232,1.1328314226861043,1.3593421960915661,1.6458982386850156,1.4858116714567298,1.8195708078453
war,B,M1 PCA 5 tools + age + PA,7,51.794746792312125,701,False,2021->2022; 2022->2023,2023->2024,355,1.238358570731196,1.132581604874954,1.35232630764895,1.6208300201602437,1.4619632529832147,1.799169150841127
