model,target,feature,coef,se,ci_lo,ci_hi
lr_basic,OPS,ΔContact,0.007822175900997767,0.000415241397919935,0.007007084551304234,0.008637267250691298
lr_basic,OPS,ΔDiscipline,0.0007734820903231599,0.00037979908739988936,2.7961647727892005e-05,0.001519002532918428
lr_basic,OPS,ΔDefense,5.3725324366610575e-05,0.00030327470533515256,-0.0005415828268384895,0.0006490334755717107
lr_basic,OPS,ΔSpeed,-4.54857190568974e-05,0.0002796150660037619,-0.0005943515659722798,0.000503380127858485
lr_extended,OPS,intercept,0.00307823309626485,0.028499961289638626,-0.052866375451981515,0.059022841644511215
lr_extended,OPS,ΔPower,0.01002071046774443,0.0018903092461594767,0.006310087504548696,0.013731333430940164
lr_extended,OPS,ΔContact,0.00906524616548098,0.002593554271817036,0.003974173338719397,0.014156318992242563
lr_extended,OPS,ΔDiscipline,-0.004033974917703331,0.0019331178110853142,-0.007828629868976145,-0.00023931996643051633
lr_extended,OPS,ΔDefense,-0.0029894955308364447,0.001526157328075607,-0.005985298698234713,6.307636561823753e-06
lr_extended,OPS,ΔSpeed,0.00031814281051837745,0.0011629904940072,-0.0019647742528187797,0.002601059873855534
lr_extended,OPS,Power_t,1.7923326026070356e-05,0.0002690276194715433,-0.0005101701933666681,0.0005460168454188088
lr_extended,OPS,Contact_t,0.00023501034498872396,0.00029180500525171835,-0.0003377945309660164,0.0008078152209434644
lr_extended,OPS,Discipline_t,5.2450112251588e-05,0.0002648137238380024,-0.0004673716505838067,0.0005722718750869828
lr_extended,OPS,Defense_t,-0.0002845274158861419,0.00031997426943499954,-0.0009126277514315147,0.000343572919659231
lr_extended,OPS,Speed_t,-0.00035390201333450533,0.00026548736535307203,-0.0008750461151892208,0.00016724208852021005
lr_extended,OPS,ΔPower×Power_t,3.43271506257197e-05,3.978067120010048e-05,-4.3761168704216426e-05,0.00011241546995565583
lr_extended,OPS,ΔContact×Contact_t,-2.1348013927736656e-05,4.929232396315165e-05,-0.00011810743547665024,7.541140762117694e-05
lr_extended,OPS,ΔDiscipline×Discipline_t,0.00010684750335388342,4.236734921293686e-05,2.3681609096815824e-05,0.00019001339761095103
