target,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
wrc_plus,C,M6c Marcel calibrated,1,0.001,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.93333501826543,17.412687311129446,20.53913089538734,24.375792119086164,22.393491692714218,26.365936989073592
wrc_plus,C,M7 Marcel + B2V,6,71.96856730011514,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.110542269669214,16.62045822903046,19.68527841307383,23.593839786800622,21.576374462600906,25.720258817137523
wrc_plus,C,M7x Marcel + B2V + age + PA,8,100.0,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.148032520346995,16.657182218063024,19.699176187605513,23.49691739310683,21.45294241797565,25.58508052304366
wrc_plus,pooled,M0 scalar baseline,1,,,,re-fitted per fold,all rolling-origin test seasons,1063,19.704325044447685,18.70126410031097,20.76001479251453,25.470714367641396,24.15106083669304,26.751971250546177
wrc_plus,pooled,M1 B2V 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.533404709098956,17.60665430675153,19.489151048761414,23.92930010225373,22.738515222146255,25.173076920720334
wrc_plus,pooled,M6 Marcel (no fit),1,,,,re-fitted per fold,all rolling-origin test seasons,1063,19.69330997808359,18.634120080948776,20.741554539938946,25.47816842739573,24.150767604796226,26.81408987519962
wrc_plus,pooled,M6c Marcel calibrated,1,,,,re-fitted per fold,all rolling-origin test seasons,1063,19.06253732408566,18.065619233460144,20.081418288124308,24.57568922247773,23.353993571018343,25.774377806787044
wrc_plus,pooled,M7 Marcel + B2V,6,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.48357376835842,17.528667518916773,19.445633985254016,23.848417784151614,22.667639194131766,25.054208076181045
wrc_plus,pooled,M7x Marcel + B2V + age + PA,8,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.439340066532612,17.49957508447885,19.389861673252327,23.714000814162773,22.546558159294516,24.90928474203696
war,A,M0 scalar baseline,1,10.0,351.0,False,2021->2022,2022->2023,350,1.1825188302108434,1.0850091470459577,1.284433612020509,1.5087850495147257,1.3732148810808225,1.6573867330583334
war,A,M1 B2V 5 tools,5,51.794746792312125,351.0,False,2021->2022,2022->2023,350,1.2478387663239603,1.1480938239927068,1.3521513022499303,1.5689403771817036,1.4425392164569262,1.701685397791073
war,A,M6 Marcel (no fit),1,,,,none (deterministic projection),2022->2023,350,1.2524591637337452,1.155559708841536,1.348328776513522,1.5516386625507117,1.4375322314397752,1.6669887493771045
war,A,M6c Marcel calibrated,1,19.306977288832496,351.0,False,2021->2022,2022->2023,350,1.2311593697417296,1.1361537788560299,1.3317364655639303,1.5381717069297074,1.4210806413722177,1.65591621162803
war,A,M7 Marcel + B2V,6,37.27593720314938,351.0,False,2021->2022,2022->2023,350,1.2231682667017971,1.1281976962170097,1.3208733239275885,1.5264584995495711,1.409873127250756,1.6484297854276697
war,A,M7x Marcel + B2V + age + PA,8,51.794746792312125,351.0,False,2021->2022,2022->2023,350,1.1465279739494996,1.0575549436690377,1.2397512198442797,1.4418251280696133,1.3305527227800749,1.5577441064616082
war,B,M0 scalar baseline,1,3.727593720314938,701.0,False,2021->2022; 2022->2023,2023->2024,355,1.212363122545016,1.1021934896906105,1.3342320497432847,1.6344726155624891,1.460936190914829,1.8288509351867952
war,B,M1 B2V 5 tools,5,37.27593720314938,701.0,False,2021->2022; 2022->2023,2023->2024,355,1.2432537778697306,1.1337184347897433,1.362183028680997,1.6480556186725535,1.488007367898079,1.8203223727326632
war,B,M6 Marcel (no fit),1,,,,none (deterministic projection),2023->2024,355,1.2328288070891542,1.126926894850605,1.3439880807730467,1.6343771451111688,1.4813488375073347,1.7994504871546282
war,B,M6c Marcel calibrated,1,0.001,701.0,False,2021->2022; 2022->2023,2023->2024,355,1.1958102788890372,1.0885686982014438,1.3131381999212297,1.6142456748022038,1.4445834395688542,1.78992429447216
war,B,M7 Marcel + B2V,6,51.794746792312125,701.0,False,2021->2022; 2022->2023,2023->2024,355,1.181472850954704,1.0762244076380674,1.2953504067040955,1.585714774428574,1.4301482389916598,1.7566004380713385
war,B,M7x Marcel + B2V + age + PA,8,71.96856730011514,701.0,False,2021->2022; 2022->2023,2023->2024,355,1.1862037445388849,1.0851254282596223,1.3031646281942528,1.5762411072545996,1.4251231399508142,1.7430910144691447
war,C,M0 scalar baseline,1,0.001,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1334134441918637,1.0384086495779592,1.233217431993349,1.4838927333556877,1.3565160900667095,1.617597813041127
war,C,M1 B2V 5 tools,5,51.794746792312125,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1799318180605904,1.0820852593634536,1.28496372746248,1.5216639985476859,1.3805070322197674,1.6680179406230995
war,C,M6 Marcel (no fit),1,,,,none (deterministic projection),2024->2025,358,1.1668988526763395,1.0718310332152408,1.266950553845356,1.4886758881437891,1.3747236489495385,1.6102542744457198
war,C,M6c Marcel calibrated,1,0.7196856730011514,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1383555237579608,1.039471212867908,1.2369617153233572,1.474565252449622,1.3524445539507945,1.6063779506428308
war,C,M7 Marcel + B2V,6,37.27593720314938,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1109425331627836,1.0170651650863847,1.2104652452949387,1.4432342105935023,1.318636861622592,1.5711541196274892
war,C,M7x Marcel + B2V + age + PA,8,100.0,1056.0,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,1.1080316569444857,1.0169267332449823,1.2054695095162795,1.4320244494075178,1.3056030452832457,1.5571532437682023
war,pooled,M0 scalar baseline,1,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1759478006565973,1.1117652921787076,1.244493378070715,1.5437878883729195,1.4409363309452075,1.6470345573562781
war,pooled,M1 B2V 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.2234376765972077,1.157540348591027,1.2888829840614369,1.5803047627112512,1.481715481586281,1.6751797138159843
war,pooled,M6 Marcel (no fit),1,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.2170881684680999,1.1561763051246343,1.282109179249374,1.5592137079655437,1.4756656641213768,1.6459914319269415
war,pooled,M6c Marcel calibrated,1,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1880994411294106,1.1253479694459845,1.2542332791840964,1.5432187352116653,1.4517040146360967,1.635709979494532
war,pooled,M7 Marcel + B2V,6,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1714479607778225,1.1104183174151565,1.236344238822913,1.5193508837592327,1.4296647179546622,1.609347973190987
war,pooled,M7x Marcel + B2V + age + PA,8,,,,re-fitted per fold,all rolling-origin test seasons,1063,1.1468132204889507,1.0856580491705061,1.2107218050538464,1.484875029337146,1.397478066748286,1.5724320963304546
war_rate,A,M0 scalar baseline,1,0.001,351.0,False,2021->2022,2022->2023,350,1.5796937540480682,1.4502915557878282,1.7077020978522712,1.9908688851475085,1.8368456146596899,2.1430904536595246
war_rate,A,M1 B2V 5 tools,5,0.001,351.0,False,2021->2022,2022->2023,350,1.5405363515992512,1.4195524356234481,1.6593638153601638,1.9293991326209115,1.7861461439187256,2.0700022752426377
war_rate,A,M6 Marcel (no fit),1,,,,none (deterministic projection),2022->2023,350,1.6368095732929104,1.5054533880293648,1.7740348982591532,2.0853442615401523,1.9253751429902952,2.2491661321492833
war_rate,A,M6c Marcel calibrated,1,0.001,351.0,False,2021->2022,2022->2023,350,1.5465368590587814,1.4235459107869883,1.673332571605613,1.9586769116955882,1.8119945247977243,2.108795763954005
war_rate,A,M7 Marcel + B2V,6,26.82695795279722,351.0,False,2021->2022,2022->2023,350,1.5464048996599282,1.4230563555605764,1.6685281885941519,1.9399166020243195,1.795971466531127,2.0851367495002395
war_rate,A,M7x Marcel + B2V + age + PA,8,26.82695795279722,351.0,False,2021->2022,2022->2023,350,1.460777803936444,1.3389758648447483,1.5829429804534674,1.8613495509663303,1.7202692291338184,2.005556188032757
