target,alpha_grid,outer_fold,model,alpha,inner_fold,mae,selected
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.13894954943731375,3,20.785875147700388,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.13894954943731375,4,20.126679588479906,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.13894954943731375,mean,19.9808018162283,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.19306977288832497,0,19.76843119032828,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.19306977288832497,1,18.607902161022828,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.19306977288832497,2,20.615080051508645,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.19306977288832497,3,20.785867093035538,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.19306977288832497,4,20.12669463347631,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.19306977288832497,mean,19.98079502587432,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.2682695795279725,0,19.768480486885316,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.2682695795279725,1,18.607913562754028,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.2682695795279725,2,20.61496247304957,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.2682695795279725,3,20.785855902827308,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.2682695795279725,4,20.126715535232712,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.2682695795279725,mean,19.98078559214979,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.3727593720314938,0,19.768548969652397,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.3727593720314938,1,18.607929402040693,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.3727593720314938,2,20.61479913303683,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.3727593720314938,3,20.785840357388373,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.3727593720314938,4,20.126744571955808,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.3727593720314938,mean,19.98077248681482,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.5179474679231207,0,19.76864409801612,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.5179474679231207,1,18.607951404159095,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.5179474679231207,2,20.614572239845476,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.5179474679231207,3,20.7858187634495,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.5179474679231207,4,20.126784906437585,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.5179474679231207,mean,19.980754282381554,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.7196856730011514,0,19.768776224162405,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.7196856730011514,1,18.607981963462475,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.7196856730011514,2,20.614257102105437,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.7196856730011514,3,20.78578877107708,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.7196856730011514,4,20.126840928028003,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.7196856730011514,mean,19.98072899776708,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.0,0,19.768959708114345,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.0,1,18.608024401281895,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.0,2,20.613819469141877,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.0,3,20.78574712055682,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.0,4,20.12691872542109,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.0,mean,19.980693884903207,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.3894954943731375,0,19.769214456239546,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.3894954943731375,1,18.608083321775748,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.3894954943731375,2,20.61321186133608,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.3894954943731375,3,20.78568929314588,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.3894954943731375,4,20.12702673900151,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.3894954943731375,mean,19.980645134299753,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.9306977288832496,0,19.769568038170416,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.9306977288832496,1,18.60816510156926,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.9306977288832496,2,20.61236852079959,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.9306977288832496,3,20.785609030517083,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.9306977288832496,4,20.127176658456136,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1.9306977288832496,mean,19.980577469902496,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,2.6826957952797246,0,19.77005858827112,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,2.6826957952797246,1,18.60827856086917,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,2.6826957952797246,2,20.61119849061551,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,2.6826957952797246,3,20.78549767609467,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,2.6826957952797246,4,20.127384653067445,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,2.6826957952797246,mean,19.980483593783582,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,3.727593720314938,0,19.770738760627818,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,3.727593720314938,1,18.608435878281686,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,3.727593720314938,2,20.609576180930283,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,3.727593720314938,3,20.785343277207843,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,3.727593720314938,4,20.127673048766113,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,3.727593720314938,mean,19.980353429162747,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,5.179474679231207,0,19.771681078256528,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,5.179474679231207,1,18.60865382816431,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,5.179474679231207,2,20.607328608968484,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,5.179474679231207,3,20.7851293706941,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,5.179474679231207,4,20.128072596455517,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,5.179474679231207,mean,19.98017309650779,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,7.196856730011514,0,19.772985087792485,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,7.196856730011514,1,18.608955435691826,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,7.196856730011514,2,20.60421833143972,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,7.196856730011514,3,20.784968608287517,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,7.196856730011514,4,20.128625506093616,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,7.196856730011514,mean,19.97995059386103,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,10.0,0,19.77478677555145,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,10.0,1,18.609372155189064,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,10.0,2,20.599920980844058,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,10.0,3,20.784909876673122,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,10.0,4,20.129389440032206,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,10.0,mean,19.979675845657983,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,13.89495494373136,0,19.77727066674702,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,13.89495494373136,1,18.60994666948451,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,13.89495494373136,2,20.59399639760245,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,13.89495494373136,3,20.78482890577474,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,13.89495494373136,4,20.13044264481723,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,13.89495494373136,mean,19.97929705688519,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,19.306977288832496,0,19.781649862584615,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,19.306977288832496,1,18.61073635846573,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,19.306977288832496,2,20.5858528611556,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,19.306977288832496,3,20.784717608585517,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,19.306977288832496,4,20.13202615821647,False
