target,pool,fold,candidate,baseline,n_test,sign,improvement_mae,ci_low,ci_high,excludes_zero,bootstrap_unit,n_boot,direction,positive_means_candidate_better
war,past_seasons,C,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",358,baseline better,-0.022532588454376112,-0.14117783985102433,0.09545856610800744,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,past_seasons,C,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",358,candidate better,0.02139664804469299,-0.06670530726256978,0.11906843575419,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,past_seasons,C,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",358,candidate better,0.010111731843575722,-0.07014036312849156,0.08658170391061451,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,past_seasons,pooled,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",1063,baseline better,-0.05562872373784855,-0.1229540225418162,0.006279759312680632,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,past_seasons,pooled,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",1063,baseline better,-0.04801505174035747,-0.10076971481678826,0.004475863887563646,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war,past_seasons,pooled,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",1063,baseline better,-0.030263405456255832,-0.07256239598551488,0.014346944463211993,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,same_season,A,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",350,candidate better,0.037199306323247416,-0.109421302068322,0.18828667724735357,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,same_season,A,B B2V (5 tools) k=5,"A scalar (WAR, wRC+) k=5",350,baseline better,-0.03577389712321488,-0.16050845044213566,0.08584506766519813,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,same_season,A,B B2V (5 tools) k=10,"A scalar (WAR, wRC+) k=10",350,baseline better,-0.08143454193505595,-0.18363746260691965,0.016440613559159142,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
war_rate,same_season,B,B B2V (5 tools) k=3,"A scalar (WAR, wRC+) k=3",355,baseline better,-0.10772760728688024,-0.2561956520982448,0.03307249108920379,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
