feature_variant,model,alpha,fold,mae,selected
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,1.0,2,18.764317073344877,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,1.0,3,19.316990676489297,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,1.0,4,18.134777864906404,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,1.0,mean,18.6054300263505,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,10.0,0,19.360590786046192,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,10.0,1,17.398159604541494,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,10.0,2,18.781080724967346,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,10.0,3,19.29879351518564,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,10.0,4,18.170922215577896,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,10.0,mean,18.601909369263712,True
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,100.0,0,19.196451607033907,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,100.0,1,17.447521700916376,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,100.0,2,18.944187043549974,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,100.0,3,19.226192780347766,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,100.0,4,18.432274345192308,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,100.0,mean,18.649325495408068,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,1000.0,0,19.702024861182824,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,1000.0,1,18.142001472884065,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,1000.0,2,19.546117883969128,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,1000.0,3,19.498417657275436,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,1000.0,4,19.399989681210855,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,1000.0,mean,19.25771031130446,False
archived_pooled_20_80,Calibrated wRC+ Ridge,0.01,0,19.768311143861506,False
archived_pooled_20_80,Calibrated wRC+ Ridge,0.01,1,18.60787439565478,False
archived_pooled_20_80,Calibrated wRC+ Ridge,0.01,2,20.61536637725469,False
archived_pooled_20_80,Calibrated wRC+ Ridge,0.01,3,20.785894343305237,False
archived_pooled_20_80,Calibrated wRC+ Ridge,0.01,4,20.126643733753326,False
archived_pooled_20_80,Calibrated wRC+ Ridge,0.01,mean,19.980817998765907,False
archived_pooled_20_80,Calibrated wRC+ Ridge,0.1,0,19.768370167113122,False
archived_pooled_20_80,Calibrated wRC+ Ridge,0.1,1,18.607888047052736,False
archived_pooled_20_80,Calibrated wRC+ Ridge,0.1,2,20.615225599480844,False
archived_pooled_20_80,Calibrated wRC+ Ridge,0.1,3,20.78588094516568,False
archived_pooled_20_80,Calibrated wRC+ Ridge,0.1,4,20.12666875961911,False
archived_pooled_20_80,Calibrated wRC+ Ridge,0.1,mean,19.980806703686298,False
archived_pooled_20_80,Calibrated wRC+ Ridge,1.0,0,19.768959708114345,False
archived_pooled_20_80,Calibrated wRC+ Ridge,1.0,1,18.608024401281895,False
archived_pooled_20_80,Calibrated wRC+ Ridge,1.0,2,20.613819469141877,False
archived_pooled_20_80,Calibrated wRC+ Ridge,1.0,3,20.78574712055682,False
archived_pooled_20_80,Calibrated wRC+ Ridge,1.0,4,20.12691872542109,False
archived_pooled_20_80,Calibrated wRC+ Ridge,1.0,mean,19.980693884903207,False
archived_pooled_20_80,Calibrated wRC+ Ridge,10.0,0,19.77478677555145,False
archived_pooled_20_80,Calibrated wRC+ Ridge,10.0,1,18.609372155189064,False
archived_pooled_20_80,Calibrated wRC+ Ridge,10.0,2,20.599920980844058,False
archived_pooled_20_80,Calibrated wRC+ Ridge,10.0,3,20.784909876673122,False
archived_pooled_20_80,Calibrated wRC+ Ridge,10.0,4,20.129389440032206,False
archived_pooled_20_80,Calibrated wRC+ Ridge,10.0,mean,19.979675845657983,True
archived_pooled_20_80,Calibrated wRC+ Ridge,100.0,0,19.84337348426531,False
archived_pooled_20_80,Calibrated wRC+ Ridge,100.0,1,18.650197809107528,False
archived_pooled_20_80,Calibrated wRC+ Ridge,100.0,2,20.489514452314978,False
archived_pooled_20_80,Calibrated wRC+ Ridge,100.0,3,20.79684172973767,False
archived_pooled_20_80,Calibrated wRC+ Ridge,100.0,4,20.161549242071928,False
archived_pooled_20_80,Calibrated wRC+ Ridge,100.0,mean,19.988295343499484,False
archived_pooled_20_80,Calibrated wRC+ Ridge,1000.0,0,20.753914979232576,False
archived_pooled_20_80,Calibrated wRC+ Ridge,1000.0,1,19.405754111741896,False
archived_pooled_20_80,Calibrated wRC+ Ridge,1000.0,2,20.62931417516569,False
archived_pooled_20_80,Calibrated wRC+ Ridge,1000.0,3,21.355102109650883,False
archived_pooled_20_80,Calibrated wRC+ Ridge,1000.0,4,20.817272089454686,False
archived_pooled_20_80,Calibrated wRC+ Ridge,1000.0,mean,20.592271493049147,False
archived_pooled_20_80,wRC+ + age + PA Ridge,0.01,0,19.643217412593017,False
archived_pooled_20_80,wRC+ + age + PA Ridge,0.01,1,18.37955177677073,False
archived_pooled_20_80,wRC+ + age + PA Ridge,0.01,2,20.082623239979043,False
archived_pooled_20_80,wRC+ + age + PA Ridge,0.01,3,20.07889275402063,False
archived_pooled_20_80,wRC+ + age + PA Ridge,0.01,4,19.729382766141796,False
archived_pooled_20_80,wRC+ + age + PA Ridge,0.01,mean,19.582733589901043,False
archived_pooled_20_80,wRC+ + age + PA Ridge,0.1,0,19.643260529708957,False
archived_pooled_20_80,wRC+ + age + PA Ridge,0.1,1,18.37950637107045,False
archived_pooled_20_80,wRC+ + age + PA Ridge,0.1,2,20.082580194340718,False
archived_pooled_20_80,wRC+ + age + PA Ridge,0.1,3,20.07875960251953,False
archived_pooled_20_80,wRC+ + age + PA Ridge,0.1,4,19.729399150631757,False
archived_pooled_20_80,wRC+ + age + PA Ridge,0.1,mean,19.58270116965428,False
archived_pooled_20_80,wRC+ + age + PA Ridge,1.0,0,19.643690836096248,False
archived_pooled_20_80,wRC+ + age + PA Ridge,1.0,1,18.379052609795288,False
archived_pooled_20_80,wRC+ + age + PA Ridge,1.0,2,20.08214984987883,False
archived_pooled_20_80,wRC+ + age + PA Ridge,1.0,3,20.07742979086625,False
archived_pooled_20_80,wRC+ + age + PA Ridge,1.0,4,19.72957409122571,False
archived_pooled_20_80,wRC+ + age + PA Ridge,1.0,mean,19.582379435572467,False
archived_pooled_20_80,wRC+ + age + PA Ridge,10.0,0,19.647909076664128,False
archived_pooled_20_80,wRC+ + age + PA Ridge,10.0,1,18.374544630019063,False
archived_pooled_20_80,wRC+ + age + PA Ridge,10.0,2,20.077857714994906,False
archived_pooled_20_80,wRC+ + age + PA Ridge,10.0,3,20.065061893376097,False
archived_pooled_20_80,wRC+ + age + PA Ridge,10.0,4,19.731326001631356,False
archived_pooled_20_80,wRC+ + age + PA Ridge,10.0,mean,19.57933986333711,False
archived_pooled_20_80,wRC+ + age + PA Ridge,100.0,0,19.684852108443472,False
archived_pooled_20_80,wRC+ + age + PA Ridge,100.0,1,18.356979228478576,False
archived_pooled_20_80,wRC+ + age + PA Ridge,100.0,2,20.048762365408443,False
archived_pooled_20_80,wRC+ + age + PA Ridge,100.0,3,19.98415268235334,False
archived_pooled_20_80,wRC+ + age + PA Ridge,100.0,4,19.75982756222062,False
archived_pooled_20_80,wRC+ + age + PA Ridge,100.0,mean,19.566914789380892,True
archived_pooled_20_80,wRC+ + age + PA Ridge,1000.0,0,20.36069965257389,False
archived_pooled_20_80,wRC+ + age + PA Ridge,1000.0,1,18.97907958827495,False
archived_pooled_20_80,wRC+ + age + PA Ridge,1000.0,2,20.347001772711828,False
archived_pooled_20_80,wRC+ + age + PA Ridge,1000.0,3,20.523517939076047,False
archived_pooled_20_80,wRC+ + age + PA Ridge,1000.0,4,20.353807451930173,False
archived_pooled_20_80,wRC+ + age + PA Ridge,1000.0,mean,20.11282128091338,False
archived_pooled_20_80,B2V Ridge,0.01,0,19.514610523764137,False
archived_pooled_20_80,B2V Ridge,0.01,1,17.747141840007323,False
archived_pooled_20_80,B2V Ridge,0.01,2,19.39045309141078,False
archived_pooled_20_80,B2V Ridge,0.01,3,19.614298456381036,False
archived_pooled_20_80,B2V Ridge,0.01,4,18.248539875952616,False
archived_pooled_20_80,B2V Ridge,0.01,mean,18.90300875750318,True
archived_pooled_20_80,B2V Ridge,0.1,0,19.514612703086648,False
archived_pooled_20_80,B2V Ridge,0.1,1,17.747235183300578,False
archived_pooled_20_80,B2V Ridge,0.1,2,19.390442998541385,False
archived_pooled_20_80,B2V Ridge,0.1,3,19.614107598043525,False
archived_pooled_20_80,B2V Ridge,0.1,4,18.24864873261411,False
archived_pooled_20_80,B2V Ridge,0.1,mean,18.90300944311725,False
archived_pooled_20_80,B2V Ridge,1.0,0,19.51463423322475,False
archived_pooled_20_80,B2V Ridge,1.0,1,17.748167048208902,False
archived_pooled_20_80,B2V Ridge,1.0,2,19.39034216294915,False
archived_pooled_20_80,B2V Ridge,1.0,3,19.612201727127385,False
archived_pooled_20_80,B2V Ridge,1.0,4,18.249735982316263,False
archived_pooled_20_80,B2V Ridge,1.0,mean,18.903016230765292,False
archived_pooled_20_80,B2V Ridge,10.0,0,19.514823784300546,False
archived_pooled_20_80,B2V Ridge,10.0,1,17.75733157781296,False
archived_pooled_20_80,B2V Ridge,10.0,2,19.391065596746433,False
archived_pooled_20_80,B2V Ridge,10.0,3,19.594276517965575,False
archived_pooled_20_80,B2V Ridge,10.0,4,18.260478364756608,False
archived_pooled_20_80,B2V Ridge,10.0,mean,18.90359516831642,False
archived_pooled_20_80,B2V Ridge,100.0,0,19.566406243476795,False
archived_pooled_20_80,B2V Ridge,100.0,1,17.840170289801343,False
archived_pooled_20_80,B2V Ridge,100.0,2,19.42676472287077,False
archived_pooled_20_80,B2V Ridge,100.0,3,19.488767078022413,False
archived_pooled_20_80,B2V Ridge,100.0,4,18.454054763045075,False
archived_pooled_20_80,B2V Ridge,100.0,mean,18.955232619443283,False
archived_pooled_20_80,B2V Ridge,1000.0,0,20.363694567124494,False
archived_pooled_20_80,B2V Ridge,1000.0,1,18.659974358937394,False
archived_pooled_20_80,B2V Ridge,1000.0,2,19.994017851783752,False
archived_pooled_20_80,B2V Ridge,1000.0,3,20.21799145372242,False
archived_pooled_20_80,B2V Ridge,1000.0,4,19.834632908846974,False
archived_pooled_20_80,B2V Ridge,1000.0,mean,19.814062228083007,False
archived_pooled_20_80,B2V + age + PA Ridge,0.01,0,19.14768697319746,False
archived_pooled_20_80,B2V + age + PA Ridge,0.01,1,17.39434190806041,False
archived_pooled_20_80,B2V + age + PA Ridge,0.01,2,18.83964543350475,False
archived_pooled_20_80,B2V + age + PA Ridge,0.01,3,19.396566993019945,False
archived_pooled_20_80,B2V + age + PA Ridge,0.01,4,18.204725611604612,False
archived_pooled_20_80,B2V + age + PA Ridge,0.01,mean,18.596593383877437,False
archived_pooled_20_80,B2V + age + PA Ridge,0.1,0,19.14769616779542,False
archived_pooled_20_80,B2V + age + PA Ridge,0.1,1,17.394402700785015,False
archived_pooled_20_80,B2V + age + PA Ridge,0.1,2,18.83959127808644,False
archived_pooled_20_80,B2V + age + PA Ridge,0.1,3,19.3962723179939,False
archived_pooled_20_80,B2V + age + PA Ridge,0.1,4,18.20482015479108,False
archived_pooled_20_80,B2V + age + PA Ridge,0.1,mean,18.596556523890374,False
archived_pooled_20_80,B2V + age + PA Ridge,1.0,0,19.147789215396497,False
archived_pooled_20_80,B2V + age + PA Ridge,1.0,1,17.39500955242988,False
archived_pooled_20_80,B2V + age + PA Ridge,1.0,2,18.83905171489558,False
archived_pooled_20_80,B2V + age + PA Ridge,1.0,3,19.3933307869774,False
archived_pooled_20_80,B2V + age + PA Ridge,1.0,4,18.20576375184929,False
archived_pooled_20_80,B2V + age + PA Ridge,1.0,mean,18.59618900430973,False
archived_pooled_20_80,B2V + age + PA Ridge,10.0,0,19.148824874167104,False
archived_pooled_20_80,B2V + age + PA Ridge,10.0,1,17.402873371280865,False
archived_pooled_20_80,B2V + age + PA Ridge,10.0,2,18.83446170635732,False
archived_pooled_20_80,B2V + age + PA Ridge,10.0,3,19.364425465162885,False
archived_pooled_20_80,B2V + age + PA Ridge,10.0,4,18.21502130554414,False
archived_pooled_20_80,B2V + age + PA Ridge,10.0,mean,18.59312134450246,True
archived_pooled_20_80,B2V + age + PA Ridge,100.0,0,19.188199856073666,False
archived_pooled_20_80,B2V + age + PA Ridge,100.0,1,17.483826620631774,False
archived_pooled_20_80,B2V + age + PA Ridge,100.0,2,18.869951152831593,False
archived_pooled_20_80,B2V + age + PA Ridge,100.0,3,19.17194306549437,False
archived_pooled_20_80,B2V + age + PA Ridge,100.0,4,18.323713005876265,False
archived_pooled_20_80,B2V + age + PA Ridge,100.0,mean,18.607526740181534,False
archived_pooled_20_80,B2V + age + PA Ridge,1000.0,0,19.98626323827914,False
archived_pooled_20_80,B2V + age + PA Ridge,1000.0,1,18.298157556404465,False
archived_pooled_20_80,B2V + age + PA Ridge,1000.0,2,19.644227464684285,False
archived_pooled_20_80,B2V + age + PA Ridge,1000.0,3,19.524122391662022,False
archived_pooled_20_80,B2V + age + PA Ridge,1000.0,4,19.4975613353841,False
archived_pooled_20_80,B2V + age + PA Ridge,1000.0,mean,19.3900663972828,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,0.01,0,19.42656753182661,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,0.01,1,17.414549315329726,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,0.01,2,18.757482170405055,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,0.01,3,19.322994386582078,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,0.01,4,18.128676900475117,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,0.01,mean,18.610054060923716,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,0.1,0,19.42576868748335,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,0.1,1,17.414593435451614,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,0.1,2,18.75766162776301,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,0.1,3,19.322780960522604,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,0.1,4,18.129062079041276,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,0.1,mean,18.609973358052372,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,1.0,0,19.4178581605396,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,1.0,1,17.415033337187285,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,1.0,2,18.75944068552084,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,1.0,3,19.320657366302477,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,1.0,4,18.132879583384266,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,1.0,mean,18.60917382658689,False
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,10.0,0,19.358865277504314,False
